Religious_Place,Country,Date,visitor_count,crowd_level,Public_Holiday,Past Crowd Levels
Ramoche Monastery,Tibet (China),2025-07-03,4382,Low,No,1595
Drepung Monastery,Tibet (China),2030-07-22,1847,High,No,3864
Sera Monastery,Tibet (China),2021-05-14,4253,Low,No,1786
Angkor Wat,Cambodia,2037-02-10,1036,Medium,No,111
Bayon Temple,Cambodia,2032-03-06,4227,Medium,No,1014
Ta Prohm,Cambodia,2029-10-03,3537,Medium,No,3780
Wat Phra Kaew,Thailand,2020-11-24,880,Medium,No,464
Wat Arun,Thailand,2035-02-23,1404,High,No,1693
Wat Pho,Thailand,2018-10-09,2559,Low,Yes,791
Shwedagon Pagoda,Myanmar,2020-08-26,4449,Low,Yes,474
Mahamuni Buddha Temple,Myanmar,2028-10-28,2560,Medium,Yes,2309
Bagan Temples,Myanmar,2023-04-24,2458,Medium,Yes,2310
Borobudur,Indonesia,2041-05-20,2287,High,Yes,3058
Prambanan,Indonesia,2021-06-28,1080,High,Yes,563
Tanah Lot,Indonesia,2019-09-12,2521,Medium,No,2308
Paro Taktsang,Bhutan,2041-07-01,3490,Medium,No,1226
Punakha Dzong,Bhutan,2022-10-09,3552,High,No,1836
Tashichho Dzong,Bhutan,2021-10-22,3221,Medium,No,806
St. Patrick’s Cathedral,Ireland,2024-01-13,1989,Medium,No,3248
Christ Church Cathedral,Ireland,2027-10-09,2880,High,No,956
St. Mary’s Cathedral,Ireland,2034-09-30,3697,Medium,No,2276
Temple Bar Temple,Ireland,2045-07-13,1479,Medium,No,2448
St. Nicholas Church,Czech Republic,2034-07-28,2465,Medium,No,897
St. Vitus Cathedral,Czech Republic,2026-09-14,1361,Low,No,72
Sedlec Ossuary,Czech Republic,2026-09-28,4637,Medium,No,153
St. Mark’s Coptic Orthodox Cathedral,Egypt,2034-09-13,4717,Low,No,789
Monastery of Saint Anthony,Egypt,2037-03-31,3123,Low,No,1394
Saint Catherine’s Monastery,Egypt,2019-07-30,3580,Low,No,2581
Church of St. Simeon,Syria,2036-03-23,1574,Low,No,2051
Umayyad Mosque,Syria,2037-06-25,4709,Medium,Yes,2015
Sayyidah Zaynab Mosque,Syria,2042-04-27,3843,High,Yes,3654
Al-Masjid al-Nabawi (old site),Saudi Arabia,2035-03-09,2981,Medium,Yes,1972
Dome of the Chain,Israel,2042-10-27,1831,Medium,Yes,641
Basilica of the Nativity,Palestine,2034-02-23,4115,Low,Yes,265
Church of All Nations,Israel,2033-09-03,1815,High,Yes,49
Hagia Triada Church,Greece,2018-09-27,4628,Medium,Yes,1336
Agios Nikolaos Church,Greece,2019-09-22,2456,Low,No,2568
Monastery of St. John the Baptist,Greece,2026-06-09,4506,High,No,3965
Church of Panagia Paraportiani,Greece,2027-06-29,3167,Low,No,3142
Monastery of Saint Naum,North Macedonia,2035-08-10,3790,Medium,No,3414
Church of St. Sophia,Bulgaria,2043-09-19,1767,High,No,1032
Rila Monastery,Bulgaria,2037-05-03,4197,High,No,930
Bachkovo Monastery,Bulgaria,2044-11-11,2562,Medium,No,564
Alexander Nevsky Cathedral,Bulgaria,2033-03-06,2438,Medium,No,2584
Cathedral of Christ the Saviour,Russia,2029-12-05,2867,High,No,490
Church of the Savior on Spilled Blood,Russia,2023-10-15,3335,Medium,No,3603
Trinity Sergius Lavra,Russia,2040-07-03,1849,Low,No,3023
Novodevichy Convent,Russia,2026-10-22,2668,Low,No,2504
Kazan Cathedral,Russia,2028-06-11,4666,Low,No,3726
St. Nicholas Naval Cathedral,Russia,2040-10-13,649,Medium,No,2589
Uspenski Cathedral,Finland,2041-09-25,4077,Low,No,2387
Helsinki Cathedral,Finland,2024-03-28,3633,Medium,No,346
Turku Cathedral,Finland,2030-08-05,4766,High,Yes,851
Temppeliaukio Church,Finland,2018-01-14,4167,Low,Yes,336
Akureyri Church,Iceland,2043-06-25,2009,Low,Yes,1886
Hallgrímskirkja,Iceland,2022-03-06,3876,Medium,Yes,469
St. Olaf’s Church,Norway,2024-06-23,3277,Medium,Yes,1020
Nidaros Cathedral,Norway,2030-09-23,4968,Low,No,594
Borgund Stave Church,Norway,2019-01-10,892,High,No,2412
St. Canice’s Cathedral,Ireland,2041-07-18,2625,Low,No,2856
Christ Church Cathedral,Ireland,2035-09-26,3209,Low,No,1968
St. Patrick’s Cathedral,Ireland,2019-06-10,2297,Low,No,3416
St. Colman’s Cathedral,Ireland,2036-11-17,1951,Low,No,2411
St. Giles Cathedral,Scotland,2027-11-01,1041,High,No,100
Rosslyn Chapel,Scotland,2039-08-23,2159,Low,No,2522
St. Magnus Cathedral,Scotland,2026-02-06,2413,High,No,704
Monastery of Saint Naum,North Macedonia,2019-06-14,4245,Low,No,2311
Church of St. George,Georgia,2028-03-03,4522,Medium,No,3981
Svetitskhoveli Cathedral,Georgia,2030-12-16,2172,High,No,2635
Jvari Monastery,Georgia,2021-10-26,2409,Low,No,3874
Sioni Cathedral,Georgia,2033-06-02,3198,Low,No,3925
St. Sava Temple,Serbia,2035-12-21,3038,Low,Yes,145
Church of Saint Mark,Serbia,2030-11-17,3511,Medium,Yes,3634
Studenica Monastery,Serbia,2022-09-09,1229,Low,Yes,1118
Church of Saint Michael,Serbia,2044-12-09,4422,Medium,Yes,2259
Meteora Monasteries,Greece,2020-08-13,4486,High,Yes,3888
Mount Athos Monasteries,Greece,2036-04-11,3217,Low,Yes,3
Monastery of Hosios Loukas,Greece,2027-06-16,3752,Low,Yes,682
Monastery of Daphni,Greece,2023-09-03,3475,High,No,3840
St. George Cathedral,Ethiopia,2044-11-24,574,Medium,No,2275
Lalibela Rock-Hewn Churches,Ethiopia,2018-06-08,4410,High,No,1898
Debre Berhan Selassie Church,Ethiopia,2037-03-07,1900,Low,No,2867
Holy Trinity Cathedral,Ethiopia,2018-12-19,3407,High,No,661
St. Mary of Zion,Ethiopia,2034-08-23,4345,Low,No,3177
Al-Azhar Mosque,Egypt,2035-01-28,3301,Medium,No,2710
Mosque of Muhammad Ali,Egypt,2025-12-30,4350,High,No,1824
Abu Simbel Temple,Egypt,2041-04-13,3175,Low,No,2357
Great Mosque of Qairawan,Tunisia,2030-09-19,4792,High,No,229
Mosque of Uqba,Tunisia,2019-10-24,3824,Medium,No,2207
Basilica of Our Lady of Africa,Morocco,2037-04-28,1895,High,No,2027
Hassan II Mosque,Morocco,2028-01-14,1298,High,No,967
Koutoubia Mosque,Morocco,2039-11-06,1776,High,No,754
Great Mosque of Algiers,Algeria,2018-11-03,1042,High,No,2031
Great Mosque of Djenne,Mali,2031-02-12,4434,High,No,1359
Mosque of Touba,Senegal,2024-06-14,1620,Low,No,3413
Basilica of the National Shrine of Our Lady of Aparecida,Brazil,2023-04-12,4620,High,No,2323
Christ the Redeemer,Brazil,2043-10-09,3977,Medium,No,19
Metropolitan Cathedral of Brasilia,Brazil,2027-05-21,676,High,Yes,1292
São Paulo Cathedral,Brazil,2027-12-18,1371,Low,Yes,2041
San Agustin Church,Philippines,2021-06-20,764,Low,Yes,2291
Basilica del Santo Niño,Philippines,2022-04-10,1367,Medium,Yes,2618
Quiapo Church,Philippines,2037-08-28,2785,High,Yes,222
Mount Mary Basilica,India,2029-04-02,4416,Low,Yes,847
Velankanni Church,India,2039-07-17,3193,Low,Yes,3528
San Thome Basilica,India,2031-06-06,3720,High,Yes,232
Se Cathedral,India,2037-12-21,2058,Medium,No,1953
Church of Our Lady of Lourdes,France,2019-05-30,2576,Medium,No,3442
Reims Cathedral,France,2020-06-13,2995,High,No,994
Amiens Cathedral,France,2018-01-22,3007,Low,No,2293
Pisa Cathedral,Italy,2020-06-18,658,Medium,No,2485
Siena Cathedral,Italy,2018-07-27,4316,Low,No,983
Florence Cathedral (Duomo),Italy,2019-04-04,4272,High,No,3432
Milan Cathedral (Duomo),Italy,2024-08-27,1244,Low,No,2124
St. Peter’s Church Munich,Germany,2041-02-11,4255,High,No,2229
Speyer Cathedral,Germany,2027-04-13,2471,Medium,No,1022
Frauenkirche Dresden,Germany,2028-09-16,2253,Medium,No,2203
Canterbury Cathedral,UK,2032-09-27,2068,High,No,3669
York Minster,UK,2019-07-07,2005,Low,No,3470
Durham Cathedral,UK,2026-08-11,1528,Medium,Yes,819
Westminster Cathedral,UK,2036-12-09,3894,Medium,Yes,3013
Hagia Sophia,Turkey,2023-08-19,4530,Medium,Yes,662
Blue Mosque (Sultan Ahmed),Turkey,2023-04-10,1018,Low,Yes,2342
Suleymaniye Mosque,Turkey,2019-09-27,4977,High,Yes,2548
Eyüp Sultan Mosque,Turkey,2034-08-27,2919,Low,Yes,549
St. Michael’s Church,Germany,2041-04-18,3771,High,Yes,386
Ulm Minster,Germany,2043-08-09,2188,Low,Yes,2131
Basilica of St. Francis of Assisi,Italy,2045-04-25,2589,High,No,1169
Santuario di Loreto,Italy,2018-04-16,2388,Low,No,46
Cathedral of St. James,Croatia,2026-04-30,2815,Medium,No,3865
Church of St. Donatus,Croatia,2022-09-06,3921,High,No,3785
Esztergom Basilica,Hungary,2018-03-31,3132,Low,No,2352
Dohány Street Synagogue,Hungary,2037-03-16,4974,Medium,No,2207
St. Matthias Church,Hungary,2026-09-10,2317,Medium,No,1639
Church of St. Nicholas,Slovakia,2020-07-06,3995,Low,No,3179
St. Elisabeth Cathedral,Slovakia,2039-06-13,4350,High,No,3756
St. Martin’s Cathedral,Slovakia,2036-06-07,2869,Medium,No,754
Church of St. Cyril and Methodius,Slovakia,2023-05-04,4073,Low,No,2616
Church of St. Peter,Switzerland,2035-06-09,4572,Low,No,1321
Grossmünster,Switzerland,2018-01-02,3777,Low,No,2989
Fraumünster,Switzerland,2039-12-29,2915,Low,Yes,3469
Saint Pierre Cathedral,Switzerland,2034-07-23,2535,High,Yes,940
Basilica of the National Shrine of the Immaculate Conception,USA,2025-06-13,1530,High,Yes,888
Cathedral of St. John the Divine,USA,2045-02-04,1871,High,Yes,3948
Grace Cathedral,USA,2026-07-15,2308,High,Yes,2659
St. Patrick’s Cathedral,USA,2044-02-22,789,Low,Yes,797
National Shrine of St. Paul,Canada,2028-04-20,1546,Low,No,51
Notre-Dame Basilica (Montreal),Canada,2018-08-02,2284,Low,No,954
Saint Joseph’s Oratory,Canada,2020-02-18,2089,Medium,No,1383
Basilica of Sainte-Anne-de-Beaupré,Canada,2027-07-29,4299,Low,No,3092
St. George’s Church,Malta,2042-05-12,2359,High,No,1408
St. John’s Co-Cathedral,Malta,2023-08-06,1912,High,No,1576
Rotunda of Mosta,Malta,2032-11-03,808,Medium,No,2070
St. Paul’s Cathedral,Malta,2034-11-07,4867,Low,No,1581
Basilica of Bom Jesus,India,2040-11-18,3577,High,No,2226
Church of Our Lady of Light,India,2042-01-21,661,Medium,No,407
San Thome Basilica,India,2041-03-06,4200,Medium,No,3733
Church of St. Francis of Assisi,India,2029-05-30,2334,High,No,971
Votive Church of Szeged,Hungary,2028-05-16,4742,High,Yes,2678
Church of the Holy Sepulchre,Israel,2041-07-05,4526,Medium,Yes,3692
Church of the Nativity,Palestine,2019-08-07,3402,Low,Yes,785
Church of the Dormition,Israel,2045-05-15,3537,Low,Yes,2132
St. Andrew’s Cathedral,Scotland,2045-07-30,1213,High,Yes,1131
St. Magnus Cathedral,Scotland,2018-04-27,4159,Medium,No,959
Dunblane Cathedral,Scotland,2036-03-11,962,Low,No,417
Rosslyn Chapel,Scotland,2042-12-15,4151,Low,No,1484
St. Nicholas Church,Czech Republic,2045-06-24,4674,Low,No,557
St. Vitus Cathedral,Czech Republic,2042-10-02,2350,Low,No,1974
Sedlec Ossuary,Czech Republic,2022-10-30,4991,High,No,3794
Church of Our Lady before Týn,Czech Republic,2023-02-19,3077,Low,No,3447
Basilica di Santa Maria del Fiore,Italy,2026-10-30,2500,High,No,2935
Siena Cathedral,Italy,2019-06-11,828,High,No,1888
Pisa Cathedral,Italy,2039-02-25,2419,Medium,No,1165
St. Mark’s Basilica,Italy,2026-01-25,1324,High,No,2433
Hagia Sophia,Turkey,2030-04-01,1862,High,No,605
Blue Mosque,Turkey,2033-06-26,3813,Medium,No,2213
Süleymaniye Mosque,Turkey,2034-08-04,1160,High,Yes,1087
Church of St. George,Turkey,2020-08-17,2149,High,Yes,2397
St. Sava Cathedral,Serbia,2035-05-14,938,High,Yes,351
Studenica Monastery,Serbia,2027-12-13,4877,Low,Yes,450
Gračanica Monastery,Kosovo,2020-11-16,1100,Low,Yes,1487
Monastery of Decani,Kosovo,2027-04-04,4170,Low,Yes,1158
Meteora Monasteries,Greece,2028-01-25,4499,Medium,Yes,3243
Mount Athos Monasteries,Greece,2033-10-25,4692,Low,No,2815
Monastery of Hosios Loukas,Greece,2042-12-27,4790,Low,No,1949
Church of Panagia Paraportiani,Greece,2035-12-31,639,Low,No,6
Lalibela Rock-Hewn Churches,Ethiopia,2032-03-07,4442,Medium,No,3623
Church of St. George,Ethiopia,2022-05-27,3751,Low,No,1822
Debre Berhan Selassie Church,Ethiopia,2027-11-20,2058,High,No,260
Holy Trinity Cathedral,Ethiopia,2044-12-12,2316,Low,No,1486
Basilica of Our Lady of Peace,Ivory Coast,2036-03-02,2463,Low,No,209
Great Mosque of Djenné,Mali,2045-08-10,2993,Low,No,1478
Mosque of Touba,Senegal,2020-03-02,943,High,No,2131
Great Mosque of Kairouan,Tunisia,2026-05-15,4777,Medium,No,1194
Abu Simbel Temple,Egypt,2023-06-04,2865,High,No,3414
Mosque of Muhammad Ali,Egypt,2027-11-08,4126,Medium,Yes,676
St. Catherine’s Monastery,Egypt,2020-07-22,2041,High,Yes,3230
Al-Azhar Mosque,Egypt,2038-04-30,1357,Low,Yes,2335
Jokhang Monastery,Tibet (China),2033-05-28,2784,Medium,Yes,1851
Potala Palace,Tibet (China),2022-08-10,1699,Medium,Yes,2517
Ramoche Monastery,Tibet (China),2029-06-11,1213,High,Yes,3906
Drepung Monastery,Tibet (China),2035-08-26,4464,Low,Yes,1809
Tashilhunpo Monastery,Tibet (China),2029-04-09,4553,High,Yes,3265
Shaolin Temple,China,2020-09-15,4495,Medium,Yes,2642
Temple of Heaven,China,2025-12-06,1425,High,Yes,3756
White Horse Temple,China,2028-05-06,598,Low,No,3432
Lingyin Temple,China,2033-06-29,1033,Medium,No,2166
Todaiji Temple,Japan,2026-06-21,1075,High,No,3575
Fushimi Inari Taisha,Japan,2026-08-22,3711,Low,No,3718
Kiyomizu-dera,Japan,2022-12-29,3965,Medium,No,3475
Itsukushima Shrine,Japan,2044-07-29,2941,Low,No,3627
Shwedagon Pagoda,Myanmar,2021-01-03,4305,Medium,No,1167
Mahamuni Buddha Temple,Myanmar,2025-10-15,1574,Low,No,1476
Bagan Temples,Myanmar,2027-02-25,3838,Medium,No,1526
Borobudur,Indonesia,2018-02-08,4027,Medium,No,1244
Prambanan,Indonesia,2035-11-28,1026,Low,No,1180
Tanah Lot,Indonesia,2043-10-26,3844,Low,No,753
Paro Taktsang (Tiger’s Nest),Bhutan,2027-03-11,2895,Medium,No,2078
Punakha Dzong,Bhutan,2039-05-24,1776,High,No,2809
St. Joseph’s Oratory,Canada,2040-07-04,3194,Low,No,3415
Notre-Dame Basilica (Montreal),Canada,2043-06-27,3391,Medium,No,3316
Basilica of Sainte-Anne-de-Beaupré,Canada,2024-08-25,2472,Low,No,3731
Cathedral of Saint John the Baptist,Canada,2031-10-23,2978,Medium,Yes,2649
St. Nicholas Church,Czech Republic,2032-08-21,1645,Low,Yes,2761
St. Wenceslas Church,Czech Republic,2031-03-05,3578,Low,Yes,837
Sedlec Ossuary,Czech Republic,2041-03-17,3012,High,Yes,1760
Church of Our Lady before Týn,Czech Republic,2019-11-18,1861,Low,Yes,241
St. Peter and Paul Cathedral,Germany,2031-02-21,3295,Low,Yes,110
Frauenkirche Dresden,Germany,2038-05-13,4004,Medium,Yes,873
Cologne Cathedral,Germany,2024-06-11,4655,Medium,Yes,1196
Bamberg Cathedral,Germany,2035-05-25,3343,Medium,No,2630
Basilica di San Marco,Italy,2030-07-06,2899,High,No,3636
Milan Cathedral (Duomo),Italy,2040-06-27,2135,Low,No,1815
Florence Cathedral (Duomo),Italy,2025-07-15,1709,Medium,No,3082
St. Francis Basilica,Italy,2040-02-08,4320,Medium,No,3938
St. Michael’s Church,Austria,2020-11-06,879,Medium,No,3653
Melk Abbey,Austria,2038-07-06,781,Medium,No,216
Salzburg Cathedral,Austria,2021-06-19,2853,High,No,2682
St. Stephen’s Cathedral,Austria,2043-08-04,3655,Low,No,1005
Church of St. Nicholas,Slovakia,2037-04-30,2455,High,No,2452
St. Martin’s Cathedral,Slovakia,2018-10-05,3704,Medium,No,1530
Bratislava Cathedral,Slovakia,2031-12-03,1607,Low,No,463
Church of St. Elizabeth,Slovakia,2024-07-10,2752,Low,Yes,396
St. Olaf’s Church,Norway,2019-07-26,1572,Medium,Yes,398
Nidaros Cathedral,Norway,2021-12-06,2117,Low,Yes,2398
Borgund Stave Church,Norway,2032-08-27,1971,High,Yes,2843
St. Mary’s Church,Norway,2032-11-28,2956,Low,Yes,878
Hallgrímskirkja,Iceland,2020-10-04,1786,Medium,Yes,1478
Akureyri Church,Iceland,2030-06-10,1784,High,Yes,3924
Reykjavík Cathedral,Iceland,2042-05-11,3539,Medium,Yes,838
Skálholt Cathedral,Iceland,2023-08-27,3461,High,No,2760
St. Giles Cathedral,Scotland,2021-02-10,1918,Medium,No,1773
Rosslyn Chapel,Scotland,2032-08-18,4195,High,No,3785
St. Magnus Cathedral,Scotland,2018-10-22,3635,Medium,No,2589
Dunblane Cathedral,Scotland,2024-07-31,2991,Low,No,3786
Christ Church Cathedral,Ireland,2028-12-12,1201,Medium,No,3005
St. Patrick’s Cathedral,Ireland,2028-03-30,1983,High,No,3031
St. Colman’s Cathedral,Ireland,2043-06-22,3773,Medium,No,1864
St. Canice’s Cathedral,Ireland,2025-06-12,3989,Low,No,2433
St. Sava Cathedral,Serbia,2043-05-30,1953,Low,No,424
Studenica Monastery,Serbia,2032-02-07,3261,High,No,2431
Gračanica Monastery,Kosovo,2025-09-09,2961,Low,No,2694
Monastery of Decani,Kosovo,2019-07-11,4069,Low,No,1335
Alexander Nevsky Cathedral,Bulgaria,2042-08-29,3027,High,No,1969
Rila Monastery,Bulgaria,2031-02-17,4595,Medium,Yes,1460
Bachkovo Monastery,Bulgaria,2024-10-05,4576,Low,Yes,2249
Church of St. Sophia,Bulgaria,2028-03-27,3805,Medium,Yes,3490
Meteora Monasteries,Greece,2029-09-26,2901,Medium,Yes,232
Mount Athos Monasteries,Greece,2025-02-17,2357,High,Yes,2863
Monastery of Hosios Loukas,Greece,2018-12-29,4118,Medium,Yes,421
Church of Panagia Paraportiani,Greece,2036-12-16,3318,High,Yes,2716
Church of St. George,Ethiopia,2022-09-01,1926,Medium,No,2183
Lalibela Rock-Hewn Churches,Ethiopia,2023-11-10,2837,Low,No,1285
Debre Berhan Selassie Church,Ethiopia,2026-11-14,616,Low,No,876
Holy Trinity Cathedral,Ethiopia,2024-07-11,548,High,No,3333
St. Mary of Zion,Ethiopia,2038-01-10,2991,High,No,1670
Basilica of Our Lady of Peace,Ivory Coast,2029-10-21,3720,Low,No,2302
Great Mosque of Djenné,Mali,2021-08-05,3807,Low,No,2258
Mosque of Touba,Senegal,2028-10-05,4062,Low,No,2746
Great Mosque of Kairouan,Tunisia,2034-12-06,4558,Low,No,1575
Abu Simbel Temple,Egypt,2022-05-11,3615,Medium,No,588
Mosque of Muhammad Ali,Egypt,2043-12-04,3960,Medium,No,2277
St. Catherine’s Monastery,Egypt,2023-12-03,4543,Low,No,1896
Al-Azhar Mosque,Egypt,2024-07-24,4885,Low,No,1545
Jokhang Monastery,Tibet (China),2018-11-14,4495,High,No,1281
Potala Palace,Tibet (China),2032-04-30,2287,Low,No,736
Ramoche Monastery,Tibet (China),2031-11-17,1611,High,No,933
Drepung Monastery,Tibet (China),2029-01-19,1500,High,Yes,956
Tashilhunpo Monastery,Tibet (China),2026-04-09,3138,High,Yes,2162
Shaolin Temple,China,2040-07-12,2092,Low,Yes,1789
Temple of Heaven,China,2032-07-01,1363,High,Yes,1430
White Horse Temple,China,2028-11-16,1096,Medium,Yes,3861
Lingyin Temple,China,2032-09-14,4731,High,Yes,2132
Todaiji Temple,Japan,2029-04-26,4329,Low,No,623
Fushimi Inari Taisha,Japan,2020-09-01,3507,Low,No,2955
Kiyomizu-dera,Japan,2037-12-18,1482,Low,No,1864
Itsukushima Shrine,Japan,2020-08-12,1280,Medium,No,3580
Shwedagon Pagoda,Myanmar,2043-09-14,4557,Low,No,3210
Mahamuni Buddha Temple,Myanmar,2031-09-26,4780,High,No,3519
Bagan Temples,Myanmar,2044-11-14,4026,Low,No,2645
Borobudur,Indonesia,2038-07-05,3208,Low,No,3616
Prambanan,Indonesia,2022-06-29,1746,Low,No,230
Tanah Lot,Indonesia,2021-07-14,3476,High,No,2186
Paro Taktsang (Tiger’s Nest),Bhutan,2021-10-12,581,Medium,No,2023
Punakha Dzong,Bhutan,2023-04-18,3922,Low,No,2104
Tashichho Dzong,Bhutan,2030-10-20,1834,High,No,2791
St. George’s Cathedral,Malta,2020-06-11,2559,High,No,3561
St. John’s Co-Cathedral,Malta,2037-12-14,1314,High,No,3555
Rotunda of Mosta,Malta,2031-05-09,2319,Low,No,3909
St. Paul’s Cathedral,Malta,2039-08-25,4050,Medium,No,2795
St. Nicholas Church,Czech Republic,2040-06-08,4581,High,Yes,2284
St. Wenceslas Church,Czech Republic,2043-11-26,1428,High,Yes,3923
Sedlec Ossuary,Czech Republic,2024-10-02,4957,High,Yes,2994
Church of Our Lady before Týn,Czech Republic,2038-12-19,1264,Medium,Yes,737
Church of St. Peter,Switzerland,2023-03-29,748,High,Yes,60
Grossmünster,Switzerland,2025-06-29,3670,Low,Yes,1141
Fraumünster,Switzerland,2019-12-28,1105,Medium,Yes,900
Saint Pierre Cathedral,Switzerland,2037-10-02,3993,Medium,No,2261
Golden Temple of Dambulla,Sri Lanka,2040-07-29,1941,Low,No,2938
Temple of the Tooth (Sri Dalada Maligawa),Sri Lanka,2022-12-02,4673,Medium,No,538
Gangaramaya Temple,Sri Lanka,2028-07-12,4314,Medium,No,949
Kandy Buddhist Temple,Sri Lanka,2035-07-13,1407,High,No,1141
Batu Caves Temple,Malaysia,2020-07-25,3134,Low,No,892
Kek Lok Si Temple,Malaysia,2024-03-15,4528,Medium,No,2451
Thean Hou Temple,Malaysia,2020-04-04,4238,High,No,2397
Sri Mahamariamman Temple,Malaysia,2037-12-01,3018,Medium,No,3680
Sultan Omar Ali Saifuddin Mosque,Brunei,2021-10-21,4808,High,No,3871
Jame’ Asr Hassanil Bolkiah Mosque,Brunei,2027-10-05,1332,Low,No,674
Sheikh Lotfollah Mosque,Iran,2032-11-12,1248,Medium,No,1721
Imam Mosque (Shah Mosque),Iran,2039-06-07,3105,Low,No,2931
Imam Reza Shrine,Iran,2033-07-31,2932,Medium,No,2097
Fatima Masumeh Shrine,Iran,2039-07-28,1286,High,Yes,715
Al-Kadhimiya Mosque,Iraq,2023-02-12,2993,Low,Yes,1801
Imam Ali Mosque,Iraq,2040-06-16,2519,Medium,Yes,469
Al-Askari Shrine,Iraq,2038-07-01,1188,Low,Yes,2744
Great Mosque of Samarra,Iraq,2020-03-17,2445,Low,Yes,1511
Sultan Qaboos Grand Mosque,Oman,2031-02-27,996,High,No,1150
Holy Sepulchre Church,Jerusalem,2043-04-13,2831,High,No,1886
Church of Nativity,Bethlehem,2038-07-26,3452,Medium,No,2010
Basilica of the Annunciation,Nazareth,2040-01-22,3103,High,No,2508
St. Catherine’s Monastery,"Sinai, Egypt",2030-04-22,1446,Low,No,3365
Mount Sinai Monastery,Egypt,2025-03-17,2314,Low,No,2858
Monastery of Saint Anthony,Egypt,2042-08-03,3568,Medium,No,1127
Monastery of Saint Paul the Anchorite,Egypt,2041-08-11,4514,Medium,No,2987
St. George Orthodox Church,Lebanon,2039-06-12,3888,Low,No,2542
Mohammad Al-Amin Mosque,Lebanon,2030-01-06,3705,High,No,3804
Saint Joseph Cathedral,Lebanon,2018-05-26,752,Low,No,317
Our Lady of Lebanon,Lebanon,2035-09-16,2081,Low,No,3214
Sheikh Zayed Grand Mosque,UAE,2023-07-27,4656,Medium,No,1292
Jumeirah Mosque,UAE,2044-12-20,4125,Low,No,284
Grand Mosque of Abu Dhabi,UAE,2021-03-11,2603,Medium,No,1963
Al Noor Mosque,UAE,2023-08-13,1088,High,No,1685
Faisal Mosque,Pakistan,2028-04-18,2774,Low,No,3027
Badshahi Mosque,Pakistan,2030-02-22,4424,High,Yes,3295
Wazir Khan Mosque,Pakistan,2027-05-24,2737,High,Yes,3302
Data Darbar,Pakistan,2040-06-04,992,High,Yes,703
Jamia Masjid,Pakistan,2042-03-08,4795,Medium,Yes,451
Katas Raj Temples,Pakistan,2037-05-10,2310,Medium,Yes,358
Hinglaj Mata Temple,Pakistan,2029-12-10,1720,Medium,Yes,1034
Shri Swaminarayan Mandir,Pakistan,2022-11-07,3108,High,Yes,564
Baha’i House of Worship,Australia,2027-08-13,3242,Low,Yes,307
St. Mary’s Cathedral,Australia,2018-09-29,4231,High,No,1379
St. Patrick’s Cathedral,Australia,2041-02-05,684,Low,No,2964
St. John’s Cathedral,Australia,2023-07-26,3081,High,No,298
Auckland Cathedral,New Zealand,2044-09-09,2722,Medium,No,56
Wellington Cathedral,New Zealand,2028-06-07,2019,High,No,1232
ChristChurch Cathedral,New Zealand,2029-11-25,3118,Medium,No,3014
St. Paul’s Cathedral,New Zealand,2019-06-30,3821,Low,No,3657
Lumbini Temple,Nepal,2026-11-16,2600,Low,No,159
Pashupatinath Temple,Nepal,2041-04-12,1319,High,No,1658
Swayambhunath (Monkey Temple),Nepal,2045-05-22,1148,Low,No,1893
Boudhanath Stupa,Nepal,2038-09-17,1760,Medium,No,3012
Jokhang Monastery,Tibet (China),2020-07-09,2555,Low,No,111
Potala Palace,Tibet (China),2043-03-10,3244,High,No,1983
Ramoche Monastery,Tibet (China),2036-03-07,848,High,No,2148
Drepung Monastery,Tibet (China),2039-01-25,2779,Low,No,3317
Tashilhunpo Monastery,Tibet (China),2040-07-14,3815,High,No,3845
Mahabodhi Temple,India,2037-07-06,1570,High,No,1835
Bodh Gaya,India,2029-09-18,2097,Medium,Yes,1306
Sanchi Stupa,India,2026-03-03,3003,High,Yes,1327
Ajanta Caves,India,2018-05-11,4154,Medium,Yes,3128
Ellora Caves,India,2039-11-07,3413,Low,Yes,947
Konark Sun Temple,India,2025-04-21,1527,Low,Yes,3674
Jagannath Temple,India,2037-07-18,2231,Medium,No,926
Rameswaram Temple,India,2026-10-29,2593,Low,No,3329
Dwarkadhish Temple,India,2039-01-24,4629,High,No,3404
ISKCON Mayapur Temple,India,2032-10-06,3301,Low,No,526
Wat Phra That Doi Suthep,Thailand,2019-09-07,1382,Medium,No,397
Wat Saket (Golden Mount),Thailand,2045-05-06,4432,High,No,1383
Wat Benchamabophit,Thailand,2022-01-06,4877,Medium,Yes,836
Wat Traimit (Temple of the Golden Buddha),Thailand,2030-04-25,4158,Low,Yes,620
Angkor Thom Temples,Cambodia,2026-05-01,881,Low,Yes,1464
Ta Keo Temple,Cambodia,2024-08-16,3700,Low,Yes,3665
Preah Khan Temple,Cambodia,2031-12-04,4073,High,No,998
Banteay Srei Temple,Cambodia,2027-01-08,1063,Low,No,543
Shwedagon Pagoda,Myanmar,2036-06-12,3953,High,No,3373
Mahamuni Buddha Temple,Myanmar,2022-02-09,2991,Medium,No,3370
Kuthodaw Pagoda,Myanmar,2022-03-02,595,Medium,No,3352
Htilominlo Temple,Myanmar,2043-03-09,1247,Low,No,613
Borobudur,Indonesia,2029-08-03,1641,Low,Yes,2520
Prambanan,Indonesia,2039-01-17,1067,Low,Yes,3655
